class,predictions,softmax_output,sigmoid_output,set
0,[ 1.4408213 -1.9444662],[0.9672415  0.03275844],[0.8085818  0.12515801],train
0,[ 1.4320446 -2.369034 ],[0.97814184 0.02185819],[0.80721974 0.08556469],train
0,[ 2.3450992 -2.2143366],[0.9896404  0.01035952],[0.9125439  0.09847043],train
0,[ 2.9813921 -3.4311612],[0.9983619  0.00163814],[0.95172644 0.03133567],train
0,[ 3.1667304 -3.548796 ],[0.9987895  0.00121048],[0.9595629  0.02795527],train
0,[ 2.175697  -2.8721366],[0.9936178  0.00638224],[0.8980458  0.05354827],train
0,[ 0.6023567 -1.1008431],[0.84595215 0.15404782],[0.6461953  0.24958198],train
0,[ 0.96959335 -1.8238684 ],[0.9423215  0.05767851],[0.72503847 0.13897035],train
0,[ 2.9177954 -3.063657 ],[0.99748117 0.0025188 ],[0.94871914 0.04463151],train
0,[ 2.89096   -3.2880049],[0.9979317  0.00206829],[0.9473977  0.03598499],train
0,[ 2.2928884 -3.1170423],[0.995548   0.00445204],[0.9082864  0.04240972],train
0,[ 2.0382097 -2.1278594],[0.9847238  0.01527614],[0.8847509  0.10641839],train
0,[ 3.373739 -3.736069],[9.991836e-01 8.163848e-04],[0.9668736 0.0232922],train
0,[ 1.5854174 -1.5154761],[0.95692956 0.04307041],[0.8299704  0.18012865],train
0,[ 3.3637106 -4.2936435],[9.9952769e-01 4.7233276e-04],[0.966551   0.01347113],train
0,[ 2.6357012 -2.6616867],[0.9950203  0.00497973],[0.9331242  0.06527235],train
0,[ 1.5401574 -1.2120762],[0.9400394  0.05996063],[0.8234876  0.22933389],train
0,[ 2.1071944 -2.7293413],[0.992128   0.00787204],[0.8916005  0.06126403],train
0,[ 2.840769  -2.8299017],[0.9965663  0.00343372],[0.9448396  0.05572957],train
0,[ 1.0297458 -1.6882006],[0.9380774  0.06192264],[0.7368666  0.15601262],train
0,[ 0.45580322 -0.94378805],[0.802119   0.19788098],[0.6120181 0.2801358],train
0,[ 2.7509263 -2.9887435],[0.9967945  0.00320552],[0.93996567 0.047937  ],train
0,[ 1.7269812 -2.0633552],[0.97791094 0.02208905],[0.84902585 0.11270985],train
0,[ 2.1743987 -2.2943876],[0.9886686  0.01133135],[0.8979268  0.09158885],train
0,[ 2.3679948 -1.9657485],[0.9870515  0.01294849],[0.91435397 0.12284628],train
0,[ 2.2463448 -2.196235 ],[0.9883712  0.01162873],[0.90433484 0.1000891 ],train
0,[ 4.08107   -4.0544624],[9.9970716e-01 2.9285726e-04],[0.98339117 0.01704909],train
0,[ 2.4453614 -2.8717425],[0.99511707 0.00488298],[0.92022157 0.05356824],train
0,[ 1.7966595 -2.641923 ],[0.98832524 0.01167476],[0.85774183 0.06648858],train
0,[ 4.4376445 -3.933143 ],[9.9976856e-01 2.3147951e-04],[0.9883144  0.01920594],train
0,[ 2.5801938 -3.0749085],[0.9965126  0.00348741],[0.929576  0.0441542],train
1,[-2.453581   1.8366243],[0.0135169  0.98648304],[0.07917706 0.862549  ],train
0,[ 2.465449  -2.7893922],[0.9948049  0.00519505],[0.92168385 0.0579001 ],train
0,[ 2.3351595 -2.00287  ],[0.9871062  0.01289381],[0.91174734 0.11890192],train
0,[ 1.3303272 -1.9730395],[0.96454406 0.03545587],[0.79089475 0.12206279],train
0,[ 4.3305616 -4.411095 ],[9.9984026e-01 1.5976332e-04],[0.98701084 0.01199622],train
0,[ 3.68841   -3.7875779],[9.9943382e-01 5.6620507e-04],[0.9755986  0.02214872],train
0,[ 2.6058052 -3.0526438],[0.99652416 0.0034758 ],[0.9312342  0.04510347],train
0,[ 0.979441   -0.86810154],[0.8638383  0.13616168],[0.7269973  0.29564947],train
0,[-0.7985356  -0.34594658],[0.38874537 0.61125463],[0.31033888 0.41436568],train
0,[ 0.83836955 -0.87069935],[0.84671545 0.1532845 ],[0.6981217 0.2951088],train
0,[ 3.6711593 -3.5151243],[9.9924374e-01 7.5632439e-04],[0.97518456 0.02888495],train
0,[ 2.7661438 -2.9738843],[0.9967956  0.00320438],[0.9408186  0.04861974],train
0,[ 3.6793382 -3.711714 ],[9.9938357e-01 6.1636645e-04],[0.9753817  0.02385275],train
0,[-0.7599456   0.15285085],[0.28642794 0.7135721 ],[0.31865808 0.53813845],train
0,[ 3.597058  -3.7908285],[9.9938166e-01 6.1831967e-04],[0.97332674 0.02207843],train
0,[ 2.6409867 -2.5837328],[0.99464697 0.00535306],[0.9334533  0.07019272],train
0,[ 0.37623435 -1.098591  ],[0.8137897  0.18621029],[0.5929646 0.250004 ],train
0,[ 2.5429013 -2.5090744],[0.993644   0.00635603],[0.9270951  0.07522447],train
0,[ 3.1802638 -4.6214004],[9.9959117e-01 4.0888635e-04],[0.96008474 0.00974315],train
0,[ 2.1082945 -3.0955658],[0.99453473 0.00546528],[0.8917067  0.04329053],train
0,[ 2.7981775 -3.5074193],[0.9981773  0.00182273],[0.9425773  0.02910186],train
1,[-3.449704   3.0178852],[0.00155056 0.99844944],[0.03077769 0.9533756 ],train
0,[ 3.4635043 -3.7262332],[9.9924636e-01 7.5371878e-04],[0.9696313  0.02351701],train
0,[ 2.5774832 -3.7920043],[0.9982899  0.00171011],[0.9293983  0.02205306],train
0,[ 1.4289544 -1.5779836],[0.9528865  0.04711342],[0.8067383  0.17108124],train
0,[ 3.0952792 -3.406215 ],[0.99850106 0.00149894],[0.95669764 0.0321018 ],train
0,[ 2.3892686 -2.6673205],[0.9936731  0.00632695],[0.9160053  0.06492946],train
0,[ 2.2150729 -2.3927956],[0.9901254  0.00987458],[0.90159494 0.08372372],train
0,[ 4.318153 -4.683268],[9.9987674e-01 1.2321938e-04],[0.9868507  0.00916398],train
0,[ 2.8971908 -3.3084204],[0.99798596 0.00201401],[0.94770736 0.03528345],train
0,[ 1.5529407 -1.355086 ],[0.94824183 0.0517582 ],[0.82533807 0.20504013],train
0,[ 4.0638003 -4.2579384],[9.9975687e-01 2.4311343e-04],[0.98310673 0.01395398],train
0,[ 4.1394677 -4.6380396],[9.9984586e-01 1.5413805e-04],[0.98431844 0.00958391],train
0,[ 3.6300812 -3.9561563],[9.994929e-01 5.071293e-04],[0.9741708 0.0187772],train
0,[ 4.2545037 -3.9706767],[9.9973220e-01 2.6775227e-04],[0.98599875 0.01851153],train
0,[ 4.0866504 -4.2812095],[9.9976784e-01 2.3215807e-04],[0.983482   0.01363738],train
0,[ 2.1940107 -1.9225554],[0.983961   0.01603895],[0.89971036 0.12757687],train
0,[ 3.368466  -2.9962242],[0.9982817  0.00171832],[0.96670437 0.04759675],train
0,[ 2.0839813 -2.5896823],[0.99074835 0.0092516 ],[0.8893364  0.06980541],train
0,[ 1.7194694 -2.3662975],[0.98346764 0.01653233],[0.8480605  0.08577905],train
0,[ 3.2853117 -3.5925665],[0.99897075 0.00102927],[0.96392155 0.02679012],train
0,[ 1.5272243 -2.585104 ],[0.98389405 0.01610596],[0.8215998  0.07010328],train
0,[ 2.0095186 -3.3442566],[0.99529207 0.00470799],[0.88179284 0.03408374],train
0,[ 3.0338728 -2.956056 ],[0.9975024  0.00249759],[0.9540812  0.04945106],train
1,[-1.1642975  0.1226867],[0.2163637  0.78363633],[0.2378873 0.5306333],train
0,[ 2.9121914 -3.3071828],[0.9980135  0.00198654],[0.94844586 0.0353256 ],train
0,[ 3.6175559 -3.3169377],[9.9902737e-01 9.7266905e-04],[0.97385377 0.03499468],train
0,[ 1.8686808 -1.8845626],[0.97709537 0.02290467],[0.86630553 0.13186568],train
0,[ 1.8894366 -2.765546 ],[0.99057555 0.00942441],[0.8686913  0.05921464],train
0,[ 1.2530473 -1.8067229],[0.95520246 0.04479754],[0.7778269  0.14103466],train
0,[ 0.97729486 -1.0903943 ],[0.88772285 0.11227714],[0.72657114 0.25154403],train
0,[ 1.9958147 -2.7968988],[0.99177825 0.00822177],[0.88035697 0.05749199],train
1,[-2.9308531  1.8484719],[0.00833167 0.99166834],[0.05064929 0.8639476 ],train
0,[ 3.367285  -3.9847133],[9.993591e-01 6.408985e-04],[0.9666664  0.01825821],train
0,[-0.29608107 -0.04178114],[0.43676543 0.56323457],[0.42651576 0.48955625],train
0,[ 4.3681626 -4.078436 ],[9.9978548e-01 2.1458328e-04],[0.98748416 0.01665195],train
0,[ 3.1182797 -3.8474407],[9.9905723e-01 9.4279338e-04],[0.95764047 0.02088862],train
0,[ 3.333155  -3.5250652],[0.9989503  0.00104968],[0.9655488 0.0286074],train
0,[ 4.0115085 -4.5045857],[9.9979979e-01 2.0017983e-04],[0.9822159  0.01093723],train
0,[ 2.6118376 -3.0002773],[0.99636    0.00364004],[0.9316195  0.04741335],train
0,[ 2.6176655 -2.1805377],[0.9918229  0.00817713],[0.9319899  0.10151187],train
0,[ 2.051294  -2.1115592],[0.98467535 0.01532459],[0.8860783 0.1079784],train
0,[ 2.8102615 -3.0607846],[0.99718803 0.00281199],[0.9432278  0.04475415],train
0,[ 1.3157794 -1.4113793],[0.9386103  0.06138967],[0.7884787  0.19601658],train
0,[ 3.1548414 -3.4456613],[0.99864215 0.00135784],[0.959099   0.03089851],train
0,[ 3.113572  -2.9852855],[0.9977596 0.0022404],[0.9574491  0.04809507],train
0,[ 3.3346846 -3.690327 ],[9.9911147e-01 8.8856707e-04],[0.9655997  0.02435583],train
0,[ 2.639136 -2.147975],[0.99173236 0.00826758],[0.9333382 0.1045206],train
0,[ 3.1674364 -2.8983452],[0.9976845  0.00231557],[0.9595903  0.05223543],train
0,[ 1.880167 -1.57274 ],[0.9693177  0.03068228],[0.8676303  0.17182614],train
0,[ 3.2966855 -2.5191944],[0.997029 0.002971],[0.9643149  0.07452349],train
1,[-1.6659592  1.1206014],[0.05805475 0.9419452 ],[0.15896365 0.75410026],train
0,[ 2.052011  -2.7165587],[0.99157906 0.008421  ],[0.88615066 0.06200331],train
