class,sigmoid_output,set
0,[0.9701672  0.05379382],train
0,[0.76261526 0.117157  ],train
0,[0.95586944 0.01963573],train
0,[0.9676797  0.04502932],train
0,[0.9296938  0.10624925],train
0,[0.8314364  0.14935727],train
1,[0.10365458 0.8526086 ],train
0,[0.891898   0.06951964],train
0,[0.9366669  0.08706608],train
0,[0.83949393 0.1504847 ],train
0,[0.9433534  0.06616689],train
0,[0.9496569  0.05529455],train
0,[0.94472903 0.05450441],train
0,[0.8276098  0.08805714],train
0,[0.9433141  0.06360909],train
0,[0.954801   0.05341983],train
0,[0.7016466  0.38640413],train
0,[0.89530456 0.10413118],train
0,[0.9570859  0.02553917],train
0,[0.98097897 0.01086207],train
0,[0.94265527 0.08221388],train
0,[0.92931646 0.06195028],train
0,[0.8713323  0.18183923],train
0,[0.85978717 0.13526604],train
0,[0.95868623 0.03736676],train
0,[0.27306885 0.6782672 ],train
0,[0.8011283  0.10215624],train
0,[0.9212818  0.09328013],train
0,[0.75966924 0.23319519],train
1,[0.09321699 0.8615535 ],train
0,[0.9862959  0.00943835],train
0,[0.9755163  0.02315373],train
0,[0.9197799  0.04640588],train
0,[0.91623193 0.04444605],train
0,[0.79675305 0.1490856 ],train
0,[0.9436049  0.02459805],train
0,[0.8669896  0.09536362],train
0,[0.97209644 0.02923915],train
0,[0.9379197  0.04683988],train
1,[0.0362324  0.96159756],train
0,[0.8461315  0.09871864],train
0,[0.8772551  0.08163787],train
0,[0.5749524  0.32454455],train
0,[0.8832468  0.11089254],train
0,[0.90753293 0.09102926],train
0,[0.93790823 0.05825075],train
0,[0.9483769 0.0677499],train
0,[0.98666126 0.0159555 ],train
0,[0.91256434 0.07435896],train
0,[0.9359568  0.03018875],train
0,[0.97217757 0.01345168],train
0,[0.91281974 0.06907531],train
0,[0.71853    0.21384688],train
1,[0.26468223 0.7678772 ],train
0,[0.8349066  0.23112805],train
0,[0.9797309  0.02326278],train
0,[0.96027774 0.03661205],train
0,[0.9642546  0.03790264],train
0,[0.9401141  0.03848072],train
0,[0.8530494  0.07647132],train
1,[0.1399547 0.8466657],train
0,[0.87870073 0.11379621],train
0,[0.97946084 0.03995259],train
0,[0.98051935 0.00939109],train
0,[0.95939213 0.02772122],train
0,[0.90567696 0.07203538],train
1,[0.04478889 0.886823  ],train
0,[0.90084594 0.06429677],train
0,[0.8503405  0.10567631],train
0,[0.8940109  0.06687709],train
0,[0.9417299  0.05410738],train
0,[0.09060494 0.88726485],train
0,[0.9629365  0.02554251],train
0,[0.911016   0.03396089],train
0,[0.98736495 0.00427727],train
0,[0.9706226  0.02374159],train
0,[0.9386066  0.04828797],train
0,[0.94401    0.02903015],train
0,[0.8208952  0.16424233],train
0,[0.9548765 0.0560119],train
0,[0.56428766 0.27566734],train
0,[0.9103123  0.06712895],train
0,[0.4623525  0.47562426],train
0,[0.618713   0.38624758],train
0,[0.7555241  0.07820167],train
0,[0.7580394  0.13805535],train
0,[0.9026667  0.05255914],train
1,[0.05169648 0.9045598 ],train
1,[0.13174286 0.8403981 ],train
0,[0.92009914 0.09088502],train
0,[0.9206659  0.07249659],train
0,[0.82279533 0.07340947],train
0,[0.9570765  0.03161591],train
0,[0.93341637 0.02579718],train
1,[9.0184150e-04 9.9723226e-01],train
0,[0.9829607  0.01766055],train
0,[0.93320775 0.05700836],train
0,[0.9094383  0.11112083],train
0,[0.66211826 0.24024925],train
0,[0.87894446 0.10868733],train
0,[0.9808785 0.0109359],train
0,[0.87041533 0.11569487],train
0,[0.9508568 0.0308551],train
0,[0.7230863  0.31447646],train
0,[0.93632627 0.05157039],train
0,[0.90773755 0.03460962],train
0,[0.81264865 0.11031456],train
0,[0.9021233  0.07998191],train
0,[0.3263532  0.70907676],train
0,[0.8088561  0.11922012],train
0,[0.950902  0.0423487],train
0,[0.9788057  0.02329202],train
0,[0.8790053  0.04524348],train
0,[0.8657956  0.15487763],train
0,[0.94860166 0.03393625],train
1,[0.288647   0.73061854],train
0,[0.72097605 0.24773961],train
0,[0.90778786 0.08660319],train
0,[0.48208585 0.4017688 ],train
0,[0.93166167 0.04385405],train
0,[0.89388317 0.07683032],train
0,[0.91921216 0.11912592],train
0,[0.96392685 0.04012495],train
0,[0.8803696  0.03248812],train
0,[0.86912197 0.05447103],train
0,[0.8775851 0.1467579],train
0,[0.98089707 0.01209316],train
0,[0.9623401  0.03039922],train
1,[0.17062503 0.66023594],train
0,[0.9468655  0.03701893],train
0,[0.98789805 0.00748402],train
0,[0.9265351  0.07391332],train
1,[0.01398566 0.9515891 ],train
0,[0.97100866 0.01303273],train
0,[0.930574   0.07667582],train
0,[0.8135137 0.1825381],train
0,[0.55249554 0.12880886],train
0,[0.913836   0.09684433],train
0,[0.883246   0.04668631],train
0,[0.8972227  0.10686094],train
0,[0.8828022  0.11561158],train
0,[0.71998185 0.23377185],train
0,[0.93198967 0.03973561],train
0,[0.77749586 0.15472883],train
0,[0.8406202  0.22707494],train
0,[0.7570395  0.16420762],train
0,[0.8628945  0.12491821],train
0,[0.9404455  0.02084182],train
1,[0.00860577 0.96749014],train
0,[0.8704575  0.08924468],train
0,[0.89779735 0.08022568],train
1,[0.16737686 0.7164799 ],train
1,[0.13309985 0.85436445],train
0,[0.9233683  0.13950615],train
0,[0.95174575 0.02860862],train
0,[0.88708794 0.05925375],train
0,[0.96640325 0.04212467],train
0,[0.95324796 0.04424959],train
1,[0.05045311 0.90560573],train
0,[0.8735113  0.10532544],train
0,[0.8214239  0.09899449],train
0,[0.9619259  0.04060122],train
0,[0.7996514  0.11487855],train
1,[0.12211283 0.87295175],train
1,[0.15136789 0.793633  ],train
0,[0.83430946 0.09461678],train
0,[0.82171303 0.26232097],train
0,[0.90198225 0.05807472],train
0,[0.90188456 0.14718051],train
0,[0.38722426 0.5568244 ],train
0,[0.9843881  0.01143462],train
1,[0.08853046 0.9198148 ],train
0,[0.4184428 0.3479055],train
0,[0.23733099 0.5542493 ],train
0,[0.9184655  0.05130588],train
0,[0.6131634 0.2713313],train
0,[0.946391   0.11749826],train
0,[0.8886736  0.11290757],train
0,[0.62570685 0.17424557],train
0,[0.9192708  0.06207737],train
0,[0.9014071  0.05482667],train
0,[0.9923056  0.01837174],train
0,[0.9408268  0.06404858],train
0,[0.96891016 0.02495492],train
0,[0.9366388  0.03683516],train
0,[0.8838496 0.0562654],train
0,[0.9262642  0.06424131],train
1,[0.09577357 0.8332991 ],train
0,[0.94513625 0.05306589],train
0,[0.74403435 0.24729043],train
0,[0.8897073  0.07361186],train
0,[0.9507389  0.04204633],train
0,[0.9436394  0.03148601],train
0,[0.9700075  0.02382681],train
0,[0.8295014  0.13359998],train
0,[0.93788916 0.04877851],train
0,[0.8179326  0.09695015],train
0,[0.9441561  0.04966496],train
0,[0.9134769  0.05069076],train
0,[0.95984    0.02780508],train
0,[0.8704938 0.0766307],train
0,[0.7514353  0.18266848],train
0,[0.9522684  0.05369113],train
0,[0.8548481 0.1526717],train
0,[0.49013922 0.28695437],train
0,[0.9340922  0.02682946],train
0,[0.9194493  0.15435949],train
0,[0.97615075 0.03544662],train
0,[0.9608514  0.02620297],train
0,[0.86942804 0.09358811],train
0,[0.9599418  0.02394007],train
0,[0.94661206 0.04695467],train
0,[0.9073082 0.0643511],train
0,[0.93286556 0.06284034],train
0,[0.97956973 0.02644171],train
0,[0.9190476  0.06316797],train
0,[0.88961643 0.09086951],train
0,[0.940399   0.08541197],train
0,[0.8078389 0.1021178],train
0,[0.8989851  0.07060387],train
0,[0.8419553 0.1297807],train
0,[0.9565689  0.03249457],train
0,[0.84313685 0.10262472],train
0,[0.89970803 0.03212645],train
0,[0.94125706 0.03588856],train
1,[0.0971038  0.87557924],train
0,[0.91509736 0.07579741],train
0,[0.92987686 0.07435999],train
0,[0.8718678  0.12333811],train
1,[0.11472882 0.7369062 ],train
1,[0.03911933 0.9328594 ],train
0,[0.8924039  0.06792739],train
0,[0.8611663  0.03716818],train
0,[0.96980953 0.02004749],train
0,[0.88785607 0.07108795],train
0,[0.98782957 0.0096032 ],train
0,[0.91455865 0.06950296],train
0,[0.9748745  0.01437167],train
0,[0.96702284 0.02985369],train
0,[0.7237555  0.23210415],train
0,[0.7389961  0.15835136],train
0,[0.68947214 0.10273135],train
0,[0.8542095 0.0547555],train
0,[0.91066146 0.05202368],train
0,[0.91610163 0.06257735],train
