class,softmax_output,set
0,[0.98613155 0.01386845],
0,[0.99508816 0.00491189],
0,[0.9640373  0.03596273],
0,[0.99701214 0.00298785],
0,[0.99601907 0.00398097],
0,[0.99897075 0.00102929],
0,[0.7927269  0.20727313],
0,[0.9068056  0.09319444],
0,[0.99814343 0.00185653],
0,[0.9979761  0.00202388],
0,[0.9989818  0.00101822],
0,[0.91358703 0.08641299],
0,[0.95803225 0.0419677 ],
0,[9.9972099e-01 2.7893472e-04],
0,[0.9977798  0.00222028],
0,[0.9955765  0.00442354],
0,[9.9963713e-01 3.6290963e-04],
0,[0.9676847  0.03231532],
0,[0.9963548  0.00364519],
0,[0.9914669 0.0085331],
0,[0.9936639  0.00633605],
0,[0.9565086  0.04349142],
0,[0.9985116  0.00148843],
0,[0.9855795  0.01442052],
0,[0.9688525  0.03114742],
0,[0.97513944 0.0248605 ],
0,[0.9944062  0.00559375],
0,[0.9701552  0.02984483],
0,[0.9986117  0.00138833],
0,[9.9962473e-01 3.7528668e-04],
0,[0.40204945 0.5979505 ],
0,[0.97060704 0.02939302],
0,[0.998988   0.00101198],
1,[0.02795523 0.9720447 ],
0,[0.9970245  0.00297551],
0,[0.9774165  0.02258344],
0,[0.88879544 0.11120453],
0,[0.99309254 0.00690747],
0,[0.8228487  0.17715132],
0,[0.9975889  0.00241114],
0,[0.99870527 0.00129468],
0,[0.99662256 0.0033774 ],
1,[0.2094766  0.79052335],
1,[0.03155723 0.9684428 ],
1,[0.00943928 0.9905607 ],
0,[0.99258244 0.00741753],
0,[0.99897647 0.0010236 ],
0,[0.9979936  0.00200644],
0,[9.990208e-01 9.792350e-04],
0,[0.92152715 0.07847287],
0,[9.9980503e-01 1.9500920e-04],
0,[9.991130e-01 8.869797e-04],
0,[9.990357e-01 9.643652e-04],
0,[0.99725205 0.002748  ],
0,[0.99429333 0.00570664],
0,[0.8628613  0.13713868],
0,[0.99811256 0.00188741],
0,[0.98631    0.01369003],
0,[0.79769975 0.2023003 ],
0,[0.9625696  0.03743045],
0,[0.9745846  0.02541539],
0,[0.9959527  0.00404725],
0,[0.9233241  0.07667592],
0,[0.99784636 0.00215366],
0,[0.99209595 0.00790402],
0,[0.9978217  0.00217828],
1,[0.00689761 0.99310243],
0,[9.9977547e-01 2.2449596e-04],
0,[0.9970892  0.00291088],
0,[0.99014693 0.00985309],
0,[0.99896085 0.00103913],
0,[0.9934815  0.00651847],
0,[0.4588935 0.5411065],
0,[9.992157e-01 7.842373e-04],
0,[0.9981225  0.00187748],
0,[9.9957675e-01 4.2326454e-04],
0,[0.9985592  0.00144089],
1,[0.10884233 0.8911577 ],
0,[0.9237139  0.07628613],
0,[0.99733883 0.00266116],
1,[0.01968068 0.9803193 ],
0,[9.9954057e-01 4.5946817e-04],
0,[0.9951466  0.00485341],
0,[0.94834685 0.05165313],
0,[0.9950323  0.00496763],
0,[0.97586435 0.02413568],
0,[0.99702305 0.00297691],
1,[0.00201717 0.99798286],
0,[0.9786527  0.02134728],
0,[0.99798596 0.00201402],
0,[0.98323685 0.0167632 ],
0,[0.9875208 0.0124792],
1,[0.00671988 0.9932801 ],
0,[0.9808944  0.01910562],
0,[0.978937   0.02106297],
0,[0.39059973 0.6094003 ],
0,[0.99727374 0.00272629],
0,[9.994324e-01 5.676237e-04],
0,[0.9965779  0.00342201],
0,[0.99202454 0.00797542],
0,[0.7914471  0.20855285],
0,[9.9978119e-01 2.1883716e-04],
1,[0.00100031 0.99899966],
0,[0.9784151  0.02158489],
0,[0.9958984 0.0041015],
0,[0.97167295 0.0283271 ],
1,[0.02305026 0.9769497 ],
0,[0.9745633  0.02543667],
0,[0.99448884 0.00551109],
0,[9.9924588e-01 7.5413607e-04],
0,[0.9989278  0.00107225],
0,[0.9881229  0.01187706],
0,[0.9956513  0.00434875],
0,[0.9983177  0.00168236],
0,[0.997773   0.00222696],
0,[0.994964   0.00503608],
0,[0.9824318  0.01756815],
0,[0.98678267 0.0132173 ],
0,[0.972983   0.02701698],
0,[0.97265065 0.02734933],
0,[0.9956279  0.00437215],
0,[0.9977029  0.00229714],
0,[0.99871564 0.00128442],
0,[0.9982305  0.00176955],
0,[0.9947127  0.00528729],
0,[0.9642024  0.03579757],
0,[0.9952024  0.00479763],
1,[0.02422648 0.9757735 ],
0,[0.88832974 0.11167022],
0,[9.9982268e-01 1.7736439e-04],
0,[0.9979406  0.00205933],
0,[9.9918896e-01 8.1102544e-04],
0,[0.99690104 0.00309904],
0,[0.9121209  0.08787911],
0,[0.9960277  0.00397227],
0,[0.9900608  0.00993924],
0,[0.99806076 0.00193918],
0,[0.9927208  0.00727923],
0,[0.99531674 0.00468326],
0,[0.9875553  0.01244466],
0,[0.9989172  0.00108284],
0,[0.9967506  0.00324948],
0,[0.9887474  0.01125259],
0,[0.9967012  0.00329882],
1,[0.02464635 0.97535366],
0,[0.9750138  0.02498627],
0,[0.94920677 0.05079329],
0,[9.9984837e-01 1.5164891e-04],
0,[0.9307135  0.06928655],
0,[9.9952924e-01 4.7075821e-04],
0,[0.99510574 0.0048943 ],
0,[0.9087581  0.09124193],
0,[0.99843436 0.00156562],
0,[0.98521197 0.01478802],
0,[0.99497813 0.00502191],
1,[0.0135169  0.98648304],
0,[0.9948678  0.00513223],
0,[0.99801826 0.00198169],
0,[0.99864215 0.00135784],
0,[0.97381556 0.02618438],
1,[0.04481924 0.9551808 ],
0,[0.99622715 0.00377287],
1,[0.00721384 0.9927861 ],
0,[0.9988727  0.00112724],
0,[0.9816341  0.01836596],
0,[9.9921227e-01 7.8773993e-04],
0,[0.9939137  0.00608623],
0,[0.9026829  0.09731707],
0,[0.99829274 0.00170731],
0,[0.99157166 0.00842829],
1,[0.01189684 0.9881032 ],
0,[9.9951494e-01 4.8511213e-04],
0,[0.99482214 0.00517789],
0,[0.9952673  0.00473279],
0,[0.99796236 0.00203765],
0,[9.9927038e-01 7.2961906e-04],
0,[0.9984328  0.00156718],
1,[0.09015665 0.9098433 ],
0,[9.9984384e-01 1.5612729e-04],
0,[0.97207314 0.02792684],
0,[9.9947065e-01 5.2941870e-04],
0,[9.9936122e-01 6.3876476e-04],
0,[0.997255   0.00274498],
0,[0.9865891  0.01341084],
0,[0.9692786  0.03072136],
0,[0.9910376  0.00896243],
0,[9.9910814e-01 8.9185126e-04],
0,[0.9884024  0.01159756],
0,[9.996131e-01 3.868649e-04],
0,[0.96952003 0.03048   ],
0,[0.987201   0.01279902],
0,[0.7009056  0.29909438],
0,[0.9914984  0.00850162],
0,[9.993531e-01 6.468792e-04],
