ums,RF_output,RF_utility,RF_bayesian_utility,CNN_output,CNN_utility,CNN_bayesian_utility,CNN_CS_output,CNN_CS_utility
"[[1, 0], [0, 1]]",0.967121760936194,0.967121760936194,0.9749233769852327,0.9607132906101978,0.9607132906101978,0.962385065477849,0.9674003900808025,0.9674003900808025
"[[1, -1], [0, 1]]",0.9714405126776261,0.9827249930342714,0.98202842017275,0.9728336584006687,0.9609919197548064,0.9731122875452772,0.9749233769852327,0.9781276121482307
"[[1, 0], [-1, 1]]",0.9792421287266648,0.9746447478406242,0.9807745890220118,0.968236277514628,0.972972972972973,0.9722764001114517,0.9770130955697967,0.9772917247144052
"[[10, 0], [0, 1]]",0.9071886319309,0.9097241571468375,0.9091668988576205,0.8925048760100306,0.9086653663973251,0.9091668988576205,0.9017553636110337,0.9086653663973251
"[[1, 0], [0, 10]]",0.15664530509891336,0.17035385901365285,0.17305656171635553,0.16427974366118697,0.1338534410699359,0.16887712454722764,0.1622178879910839,0.16837559208693229
"[[1, -10], [0, 1]]",0.9749740368297068,0.9881962562374933,0.991970414650827,0.9827503229565085,0.9525063958053649,0.9876896577927506,0.9847513868132426,0.9867017908255021
"[[1, 0], [-10, 1]]",0.9891587932825046,0.9920210744953013,0.9917424453506928,0.9743914486182527,0.9912865067504242,0.9917424453506928,0.9836875300792827,0.990146660249753
"[[5, 0], [0, 1]]",0.9138478684870438,0.9127890777375314,0.9146837559208694,0.9000835887433826,0.9118417386458624,0.9105600445806631,0.908888269713012,0.9131791585399833
"[[100, 0], [0, 1]]",0.9011953190303705,0.9091724714405127,0.9091668988576205,0.8856840345500139,0.9091668988576205,0.9091668988576205,0.8973028698801895,0.9084062412928392
"[[1, 0], [0, 5]]",0.24669824463638898,0.26057397603789356,0.2607411535246587,0.25277235998885483,0.2235162998049596,0.25472276400111454,0.25171356923934246,0.2569517971579827
"[[1, 0], [0, 100]]",0.07559765951518528,0.09213987183059348,0.09729172471440513,0.08463638896628588,0.0908331011423795,0.09559208693229311,0.08523822791864029,0.0939509612705489
"[[1, 0], [-5, 1]]",0.9873223739203121,0.9867186774403269,0.9887155196433547,0.9732516021175815,0.9859292281972695,0.9857899136249652,0.9824463638896629,0.9866722392495588
"[[1, -5], [0, 1]]",0.9743196805052475,0.9889941487879632,0.9887155196433547,0.980913903594316,0.9504040122596824,0.9842110151388502,0.9812854091204607,0.9846289588557631
"[[1, 0], [-100, 1]]",0.991122489234156,0.9991061797737311,0.999100662364927,0.9756102943813468,0.999100662364927,0.999100662364927,0.9897376196243196,0.9986261652077718
"[[1, -100], [0, 1]]",0.9756737445825943,0.9922921799006315,0.9973792308180387,0.98471401890816,0.9909983475360632,0.9956605579755523,0.9842119347069842,0.9943391385669634
